Title,Available Globally?,Release Date,Hours Viewed,Language Indicator,Content Type
Full Swing: Season 1,Yes,15-02-2023,"5,31,00,000",English,Show
The Walking Dead: Season 8,No,,"5,30,00,000",English,Show
Welcome to Eden: Season 1 // Bienvenidos a EdÃ©n: Temporada 1,Yes,06-05-2022,"5,30,00,000",Non-English,Show
We Can Be Heroes,Yes,25-12-2020,"5,28,00,000",English,Movie
Arnold: Limited Series,Yes,07-06-2023,"5,25,00,000",English,Movie
Better Call Saul: Season 1,No,08-02-2015,"5,25,00,000",English,Show
The King's Affection: Season 1 // ì—°ëª¨: ì‹œì¦Œ 1,Yes,11-10-2021,"5,24,00,000",Korean,Show
Shameless (U.S.): Season 1,No,,"5,23,00,000",English,Show
Missing: Dead or Alive?: Season 1,Yes,10-05-2023,"5,22,00,000",English,Show
Bodyguard: Season 1,Yes,24-10-2018,"5,20,00,000",English,Show
Dr. Seuss' The Lorax,No,,"5,20,00,000",English,Movie
1899: Season 1,Yes,17-11-2022,"5,18,00,000",English,Show
A Tourist's Guide to Love,Yes,21-04-2023,"5,18,00,000",English,Movie
It's Okay to Not Be Okay: Season 1 // ì‚¬ì´ì½”ì§€ë§Œ ê´œì°®ì•„: ì‹œì¦Œ 1,Yes,20-06-2020,"5,18,00,000",Korean,Show
Vikings (2013): Season 4,No,,"5,18,00,000",English,Show
Faraway,Yes,08-03-2023,"5,17,00,000",English,Movie
Blood & Gold,Yes,26-05-2023,"5,16,00,000",English,Movie
I Am Georgina: Season 2 // Soy Georgina: Temporada 2,Yes,24-03-2023,"5,16,00,000",English,Show
The Blacklist: Season 5,No,,"5,16,00,000",English,Show
Little Women: Limited Series // ìž‘ì€ ì•„ì”¨ë“¤: ë¦¬ë¯¸í‹°ë“œ ì‹œë¦¬ì¦ˆ,No,03-09-2022,"5,13,00,000",Korean,Movie
Grey's Anatomy: Season 2,No,,"5,12,00,000",English,Show
The Walking Dead: Season 9,No,,"5,12,00,000",English,Show
The Office (U.S.): Season 3,No,,"5,10,00,000",English,Show
The Last Kingdom: Season 1,Yes,28-12-2015,"5,09,00,000",English,Show
The Endless Night: Limited Series // Todo Dia a Mesma Noite: MinissÃ©rie,Yes,25-01-2023,"5,08,00,000",Non-English,Movie
Faithfully Yours,No,17-05-2023,"5,06,00,000",English,Movie
Masha and the Bear: Season 3,No,,"5,04,00,000",English,Show
Masha and the Bear: Season 5,No,,"5,03,00,000",English,Show
The Office (U.S.): Season 5,No,,"5,01,00,000",English,Show
2 Hearts,No,,"5,00,00,000",English,Movie
Suits (2011): Season 6,Yes,,"5,00,00,000",English,Show
Tin & Tina,Yes,26-05-2023,"4,97,00,000",English,Movie
The Blacklist: Season 6,No,,"4,96,00,000",English,Show
Friends (1994): Season 6,No,,"4,94,00,000",English,Show
Love Is Blind: Brazil: Season 2 // Casamento Ã s Cegas: Brasil: Temporada 2,Yes,28-12-2022,"4,93,00,000",Non-English,Show
VINLAND SAGA: Season 1 // ãƒ´ã‚£ãƒ³ãƒ©ãƒ³ãƒ‰ãƒ»ã‚µã‚¬: ã‚·ãƒ¼ã‚ºãƒ³1,Yes,,"4,93,00,000",Japanese,Show
"Newly Rich, Newly Poor: Season 1 // Nuevo rico, nuevo pobre: Temporada 1",No,,"4,92,00,000",English,Show
The Lincoln Lawyer: Season 1,Yes,13-05-2022,"4,92,00,000",English,Show
Brooklyn Nine-Nine: Season 4,No,,"4,89,00,000",English,Show
Cobra Kai: Season 5,Yes,09-09-2022,"4,89,00,000",English,Show
Orange Is the New Black: Season 1,Yes,11-07-2013,"4,88,00,000",English,Show
El final del paraÃ­so: Season 1,No,,"4,86,00,000",Non-English,Show
Shooter: Season 1,No,16-11-2016,"4,86,00,000",English,Show
Brooklyn Nine-Nine: Season 5,No,,"4,85,00,000",English,Show
Rosario Tijeras (Mexico): Season 1,No,,"4,85,00,000",English,Show
The Smurfs (2021): Season 1,No,,"4,84,00,000",English,Show
Emily in Paris: Season 1,Yes,02-10-2020,"4,83,00,000",English,Show
The Magician's Elephant,Yes,17-03-2023,"4,83,00,000",English,Movie
Friends (1994): Season 5,No,,"4,82,00,000",English,Show
Shrek,No,,"4,81,00,000",English,Movie
Suits (2011): Season 7,Yes,,"4,81,00,000",English,Show
Teen Titans Go!: Season 5,No,,"4,81,00,000",English,Show
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,12-04-2023,"4,79,00,000",English,Movie
